Algoritmo;TipoEntrada;Tamanho;TempoSegundos;MemoriaKB;ComplexidadeTeorica;Sucesso
TimSort;ordenada;5000;3.3399999665562063e-05;39.1328125;O(n log n);True
HeapSort;reversa;5000;0.0587666999999783;0.69140625;O(n log n);True
QuickSort;reversa;5000;0.018995100000211096;122.9375;O(n log n) médio, O(n²) pior;True
MergeSort;reversa;5000;0.043576000000030035;97.71875;O(n log n);True
TimSort;reversa;5000;3.5600000046542846e-05;39.1328125;O(n log n);True
HeapSort;aleatoria;5000;0.07067449999976816;0.69140625;O(n log n);True
QuickSort;aleatoria;5000;0.031827400000111084;150.8671875;O(n log n) médio, O(n²) pior;True
MergeSort;aleatoria;5000;0.05920069999956468;81.921875;O(n log n);True
TimSort;aleatoria;5000;0.0005278999997244682;58.5;O(n log n);True
HeapSort;parcialmente_ordenada;5000;0.08003569999982574;0.69140625;O(n log n);True
QuickSort;parcialmente_ordenada;5000;0.02508919999945647;155.0703125;O(n log n) médio, O(n²) pior;True
MergeSort;parcialmente_ordenada;5000;0.06445139999959792;82.0078125;O(n log n);True
TimSort;parcialmente_ordenada;5000;0.00028619999920920236;58.4921875;O(n log n);True
HeapSort;muitas_duplicatas;5000;0.06567319999976462;0.69140625;O(n log n);True
QuickSort;muitas_duplicatas;5000;0.008630999999695632;174.9765625;O(n log n) médio, O(n²) pior;True
MergeSort;muitas_duplicatas;5000;0.05739979999998468;81.921875;O(n log n);True
TimSort;muitas_duplicatas;5000;0.0005156999995961087;58.4765625;O(n log n);True
HeapSort;ordenada;10000;0.16984620000039286;0.75390625;O(n log n);True
QuickSort;ordenada;10000;0.03881759999967471;243.609375;O(n log n) médio, O(n²) pior;True
MergeSort;ordenada;10000;0.07991409999976895;195.375;O(n log n);True
TimSort;ordenada;10000;5.6799999583745375e-05;78.1953125;O(n log n);True
HeapSort;reversa;10000;0.17059519999929762;0.75390625;O(n log n);True
QuickSort;reversa;10000;0.047203000000081374;243.71875;O(n log n) médio, O(n²) pior;True
MergeSort;reversa;10000;0.08576319999974658;195.375;O(n log n);True
TimSort;reversa;10000;9.229999977833359e-05;78.1953125;O(n log n);True
HeapSort;aleatoria;10000;0.15839729999970587;0.75390625;O(n log n);True
QuickSort;aleatoria;10000;0.052733700000317185;311.3203125;O(n log n) médio, O(n²) pior;True
MergeSort;aleatoria;10000;0.14380220000020927;164.9375;O(n log n);True
TimSort;aleatoria;10000;0.001147099999798229;117.2578125;O(n log n);True
HeapSort;parcialmente_ordenada;10000;0.17360809999991034;0.75390625;O(n log n);True
QuickSort;parcialmente_ordenada;10000;0.043208099999901606;277.2265625;O(n log n) médio, O(n²) pior;True
MergeSort;parcialmente_ordenada;10000;0.13064250000024913;165.0703125;O(n log n);True
TimSort;parcialmente_ordenada;10000;0.0006251000004340312;117.09375;O(n log n);True
HeapSort;muitas_duplicatas;10000;0.15948440000011033;0.75390625;O(n log n);True
QuickSort;muitas_duplicatas;10000;0.020867700000053446;390.4609375;O(n log n) médio, O(n²) pior;True
MergeSort;muitas_duplicatas;10000;0.13636550000046554;164.9375;O(n log n);True
TimSort;muitas_duplicatas;10000;0.0010618000005706563;117.2265625;O(n log n);True
